Year,Continent,Population,World_Population
2000,Africa,818946032,6147055703
2000,Asia,3735089604,6147055703
2000,Europe,726093423,6147055703
2000,North America,486069584,6147055703
2000,Oceania,31222778,6147055703
2000,South America,349634282,6147055703
2010,Africa,1360671810,7839250603
2010,Asia,4663086535,7839250603
2010,Europe,745792196,7839250603
2010,North America,594236593,7839250603
2010,Oceania,43933426,7839250603
2010,South America,431530043,7839250603
2015,Africa,1201102442,7424809761
2015,Asia,4458250182,7424809761
2015,Europe,741535608,7424809761
2015,North America,570383850,7424809761
2015,Oceania,40403283,7424809761
2015,South America,413134396,7424809761
2020,Africa,1360671810,7839250603
2020,Asia,4663086535,7839250603
2020,Europe,745792196,7839250603
2020,North America,594236593,7839250603
2020,Oceania,43933426,7839250603
2020,South America,431530043,7839250603
2022,Africa,1426730932,7973413042
2022,Asia,4721383274,7973413042
2022,Europe,743147538,7973413042
2022,North America,600296136,7973413042
2022,Oceania,45038554,7973413042
2022,South America,436816608,7973413042
